title,token,image_count,city,district,top_description_text,price,bottom_description_text,category,pashm,brand,description
ایکسX22 PRO/ خرید از کارخانه بدون واسطه,QYhuzKdP,4,تهران,تجریش,۰ کیلومتر,"۳۲۰,۰۰۰,۰۰۰ تومان",نمایشگاه در تجریش,vehicles,,,
تیگو 7 توربو*TIGGO7 IE/طرح فروش دولتی/نقد,QYRiIgIC,3,تهران,تجریش,۰ کیلومتر,"۱,۱۲۴,۰۰۰,۰۰۰ تومان",نمایشگاه در تجریش,vehicles,,,
*آریزوARRIZO5/اقساطی,QYGC-bWM,3,تهران,تجریش,۰ کیلومتر,"۴۰۹,۰۰۰,۰۰۰ تومان",نمایشگاه در تجریش,vehicles,,,
فروش اقساط سانتافه,wYjZGQVd,1,تهران,نارمک,"۱۰۰,۰۰۰ کیلومتر","۹۷۵,۰۰۰,۰۰۰ تومان",نمایشگاه در نارمک,vehicles,,,
جک کی ام سیK7مشکی صفر*,gYMyGoK3,2,تهران,اقدسیه,۰ کیلومتر,توافقی,نمایشگاه در اقدسیه,vehicles,,,
تارا اتومات.. صفر خشک مدل1401 تحویل روز,gY3dH065,1,تهران,ستارخان,۰ کیلومتر,"۹۹۰,۰۰۰,۰۰۰ تومان",نمایشگاه در ستارخان,vehicles,,,
جک S3 (اس3) اتوماتیک سفید صفر 99,gYHknPYS,3,تهران,پونک,۰ کیلومتر,توافقی,نمایشگاه در پونک,vehicles,,,
کوییک S دنده ای صفر و خشک تحویل روز,wYDt_3gz,1,تهران,ستارخان,۰ کیلومتر,توافقی,نمایشگاه در ستارخان,vehicles,,,
x55 pro /ام وی ام/اقساطی /mvm,wYZ5hedn,5,تهران,تهرانپارس غربی,۰ کیلومتر,"۹۳۳,۰۰۰,۰۰۰ تومان",نمایشگاه در تهرانپارس غربی,vehicles,,,
چری/تیگو 7 IE/صفر/tiggo 7 IE/اقساطی,wYqw_Vr6,1,تهران,صادقیه,۰ کیلومتر,توافقی,نمایشگاه در صادقیه,vehicles,,,
ام وی ام/x55 pro/صفر/ایکس 55 پرو/اقساطی,wYq0PSt-,1,تهران,صادقیه,۰ کیلومتر,توافقی,نمایشگاه در صادقیه,vehicles,,,
چری/ام وی ام/آریزو 5 جدید/arrizo 5 IE/اقساطی,wYq0fv95,1,تهران,صادقیه,۰ کیلومتر,توافقی,نمایشگاه در صادقیه,vehicles,,,
تیبا ۲ مدل ۱۴۰۰ صفر,AYpX3sNg,2,تهران,جمال‌زاده,۰ کیلومتر,"۱۳۰,۰۰۰,۰۰۰ تومان",نمایشگاه در جمال‌زاده,vehicles,,,
پژو پارس سال xu7سفارشی,gY2qNzmp,1,تهران,صادقیه,۰ کیلومتر,"۴۷۶,۰۰۰,۰۰۰ تومان",نمایشگاه در صادقیه,vehicles,,,
تیبا هاچبک اقساط,wYiFDC69,1,تهران,آسمان,۰ کیلومتر,توافقی,نمایشگاه در آسمان,vehicles,,,
چری آریزو5 توربو/اقساطی بهای کارخانه/ARRIZO5,QYIiCELF,2,تهران,تجریش,۰ کیلومتر,"۳۸۰,۰۰۰,۰۰۰ تومان",نمایشگاه در تجریش,vehicles,,,
سمند سورن پلاس 1401 صفر اقساط,gY4na97T,1,تهران,هروی,۰ کیلومتر,توافقی,نمایشگاه در هروی,vehicles,,,
پژو ۲۰۰۸ مدل ۹۹ صفر,wYLprMfK,3,تهران,سعادت‌آباد,۰ کیلومتر,توافقی,نمایشگاه در سعادت‌آباد,vehicles,,,
کوییک صفر 1401 سفیدمشکی دورنگ,wYTd7crA,1,تهران,ستارخان,۰ کیلومتر,توافقی,نمایشگاه در ستارخان,vehicles,,,
چری/ام وی ام/اریزو ۵ توربو فیس جدید/صفر,wYFBxVRY,2,تهران,صادقیه,۲ کیلومتر,"۷۶۰,۰۰۰,۰۰۰ تومان",نمایشگاه در صادقیه,vehicles,,,
کوییک سفید دنده ای/اتومات خشک مدل 1401 تحویل روز,wYCBnfMZ,1,تهران,ستارخان,۰ کیلومتر,توافقی,نمایشگاه در ستارخان,vehicles,,,
جکS5(جک اس5) مدل1401 صفر کیلومتر,wYGx17Qm,4,تهران,کوی فردوس,۰ کیلومتر,توافقی,نمایشگاه در کوی فردوس,vehicles,,,
نقد 207mcصفر خشک,wYftJnzw,1,تهران,مدائن,۰ کیلومتر,"۸۹۰,۰۰۰,۰۰۰ تومان",نمایشگاه در مدائن,vehicles,,,
E200 2015,wYiNBcMI,5,تهران,فرمانیه,"۷۸,۰۰۰ کیلومتر",جهت معاوضه,نمایشگاه در فرمانیه,vehicles,,,
